id,time,mood,arousal,valence,activity,screen,call,sms,builtin,communication,entertainment,finance,game,office,other,social,travel,unknown,utilities,weather
AS14.01,2/26/14,6.25,-0.25,0.75,0.09046372721276598,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,2/27/14,6.333333333,0.0,0.333333333,0.09046372721276598,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AS14.01,3/20/14,,-0.24007092199999996,0.7012411347446809,0.081547619,2275.944,1,0,248.979,2168.229,350.856,0.0,0.0,0.0,11.345,807.7310000000001,0.0,45.173,21.074,0.0
AS14.01,3/21/14,6.2,0.2,0.2,0.134050104,17978.907,6,0,3139.218,6280.89,1007.456,49.544,0.0,172.206,239.75099999999998,4508.5,915.445,0.0,598.754,0.0
AS14.01,3/22/14,6.4,0.6,0.5,0.23688021899999998,6142.161,3,1,731.429,4962.918,93.324,21.076,0.0,0.0,98.14299999999999,439.63199999999995,37.305,0.0,117.62100000000001,0.0
AS14.01,3/23/14,6.8,0.2,0.8,0.142741116,6773.832001000001,0,0,1286.246,5237.319,94.346,43.403,0.0,0.0,72.82300000000001,900.8389999999999,0.0,0.0,30.086,30.386
AS14.01,3/24/14,6.0,0.8,0.0,0.078961056,15047.351,10,0,866.956,9270.629,976.971,34.106,0.0,3.01,66.558,3223.6259999999997,419.805,0.0,178.732,0.0
AS14.01,3/25/14,6.75,0.5,0.5,0.09837411199999999,21475.355,0,1,1032.768,10276.751,68.206,43.053999999999995,0.0,0.0,178.81900000000002,1919.471,0.0,235.22299999999998,222.893,0.0
AS14.01,3/26/14,6.6,-0.2,0.6,0.10130832199999999,16423.801,0,0,1167.497,8988.753,910.4789999999999,52.331,0.0,0.0,97.49799999999999,4592.059,0.0,0.0,33.365,0.0
AS14.01,3/27/14,7.0,0.2,0.8,0.159510641,17442.15,2,1,1229.327,6936.512,639.339,42.218999999999994,0.0,182.451,58.532,935.3810000000001,47.31399999999999,0.0,179.02900000000002,0.0
AS14.01,3/28/14,6.4,-0.6,0.6,0.095698022,4923.4890000000005,5,0,10062.595,866.8330000000001,1005.403,89.166,233.03599999999997,0.0,225.951,512.741,1133.009,0.0,301.717,0.0
AS14.01,3/29/14,8.0,0.2,1.0,0.06820281,8322.622,4,1,1952.63,2720.692,1627.4289999999999,0.0,0.0,0.0,169.59400000000002,472.88800000000003,52.435,0.0,600.637,0.0
AS14.01,3/30/14,7.5,-0.5,0.75,0.049092971,4523.214000999999,0,0,414.365,1298.505,1535.6770000000001,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,0.0
AS14.01,3/31/14,7.4,0.0,0.6,0.070505481,11836.833999999999,6,0,2961.405,5332.637,1758.92,41.255,51.176,0.0,268.55400000000003,1350.655,183.38099999999997,29.29,210.305,0.0
AS14.01,4/1/14,6.0,0.2,0.0,0.118443243,17173.906000000003,1,0,1385.517,6095.526,1030.637,547.826,234.74099999999999,92.38799999999999,121.19,5040.067,1614.621,0.0,517.636,0.0
AS14.01,4/2/14,6.5,0.333333333,0.666666667,0.10191661099999999,21358.511000000002,4,0,3614.349,6920.156,1343.376,247.77700000000002,0.0,90.48100000000001,541.5409999999999,3428.792,0.0,0.0,341.371,0.0
