time,id,mood,arousal,valence,activity,screen,call,sms,builtin,communication,entertainment,finance,game,office,other,social,travel,unknown,utilities,weather,id_label,sumOfEntSocGa,sumofCallSMS,weekday,prevMood,avgMood,avgValence,avgActivity,avgArousal,avgScreen,avgAppSum,avgCallSMS
3/23/14,0.0,6.8,0.2,0.8,0.142741116,6773.8320010000025,0.0,0.0,1286.246,5237.319,94.346,43.403,0.0,0.0,72.82300000000002,900.8389999999999,0.0,0.0,30.086,30.386,AS14.01,995.185,0.0,1.0,6.4,6.495699999931401,0.506914893548936,0.1371365570425532,0.1519858156,6634.168800200001,1640.5367999999999,2.2
3/24/14,0.0,6.0,0.8,0.0,0.078961056,15047.351,10.0,0.0,866.956,9270.629,976.971,34.106,0.0,3.01,66.558,3223.6259999999997,419.805,0.0,178.732,0.0,AS14.01,4200.597,10.0,0.0,6.8,6.429033333331401,0.44024822694893606,0.1348360228,0.31198581560000005,9643.6390002,2480.6562,4.2
3/25/14,0.0,6.75,0.5,0.5,0.09837411199999999,21475.355,0.0,1.0,1032.768,10276.751,68.206,43.053999999999995,0.0,0.0,178.81900000000005,1919.471,0.0,235.22299999999998,222.893,0.0,AS14.01,1987.677,1.0,0.0,6.0,6.43,0.3999999999999999,0.13820132140000002,0.4600000000000001,13483.5212002,2646.4741999999997,4.2
3/26/14,0.0,6.6,-0.2,0.6,0.10130832199999999,16423.801,0.0,0.0,1167.497,8988.753,910.4789999999999,52.331,0.0,0.0,97.49799999999999,4592.059,0.0,0.0,33.365,0.0,AS14.01,5502.5380000000005,0.0,0.0,6.75,6.51,0.47999999999999987,0.131652965,0.38,13172.500000200002,2643.7906,3.0
3/27/14,0.0,7.0,0.2,0.8,0.159510641,17442.15,2.0,1.0,1229.327,6936.512,639.339,42.218999999999994,0.0,182.451,58.532,935.3810000000001,47.31399999999999,0.0,179.02900000000002,0.0,AS14.01,1574.7200000000003,3.0,0.0,6.6,6.63,0.5399999999999998,0.11617904940000001,0.3,15432.497800200003,2852.1434,2.8
3/28/14,0.0,6.4,-0.6,0.6,0.095698022,4923.489000000001,5.0,0.0,10062.595,866.8330000000003,1005.403,89.166,233.03599999999997,0.0,225.951,512.741,1133.009,0.0,301.717,0.0,AS14.01,1751.18,5.0,0.0,7.0,6.55,0.49999999999999983,0.1067704306,0.13999999999999999,15062.429200000002,3003.3424,3.8
3/29/14,0.0,8.0,0.2,1.0,0.06820281,8322.622,4.0,1.0,1952.63,2720.692,1627.4289999999999,0.0,0.0,0.0,169.59400000000005,472.88800000000003,52.435,0.0,600.637,0.0,AS14.01,2100.317,5.0,1.0,6.4,6.95,0.6999999999999998,0.1046187814,0.019999999999999973,13717.483400000003,2583.2864,2.8
3/30/14,0.0,7.5,-0.5,0.75,0.049092971,4523.2140009999985,0.0,0.0,414.365,1298.505,1535.6770000000001,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,0.0,AS14.01,1703.362,0.0,1.0,8.0,7.1,0.7499999999999998,0.0947625532,-0.18000000000000002,10327.055200200004,2526.4233999999997,2.6
3/31/14,0.0,7.4,0.0,0.6,0.070505481,11836.833999999999,6.0,0.0,2961.405,5332.637,1758.92,41.255,51.176,0.0,268.55400000000003,1350.655,183.38099999999997,29.29,210.305,0.0,AS14.01,3160.7509999999997,6.0,0.0,7.5,7.26,0.7499999999999998,0.088601985,-0.14000000000000004,9409.661800200005,2058.066,3.8
4/1/14,0.0,6.0,0.2,0.0,0.118443243,17173.906000000006,1.0,0.0,1385.517,6095.526,1030.637,547.826,234.74099999999999,92.38799999999999,121.19,5040.067,1614.621,0.0,517.636,0.0,AS14.01,6305.445,1.0,0.0,7.4,7.06,0.5899999999999996,0.0803885054,-0.14000000000000004,9356.013000200006,3004.2109999999993,3.4
